,type,latitude,longitude
2377,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2888,-71.1325
2381,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3227,-71.1151
2405,Improper Storage of Trash (Barrels),42.2809,-71.0787
2429,Improper Storage of Trash (Barrels),42.3378,-71.077
2446,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3507,-71.0603
2492,Improper Storage of Trash (Barrels),42.3447,-71.0757
2496,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3809,-71.0332
2498,Improper Storage of Trash (Barrels),42.3594,-71.0587
2543,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2854,-71.1252
2545,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3039,-71.128
2555,Missed Trash/Recycling/Yard Waste/Bulk Item,42.336,-71.0468
2562,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2841,-71.1281
2567,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2935,-71.1493
2585,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3021,-71.0712
2593,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3243,-71.0589
2597,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2748,-71.071
2598,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3177,-71.0989
2606,Improper Storage of Trash (Barrels),42.3294,-71.0557
2617,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3091,-71.1022
2630,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3277,-71.0922
2631,Improper Storage of Trash (Barrels),42.3839,-71.0173
2635,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3364,-71.034
2637,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3091,-71.1022
2641,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3267,-71.092
2654,Improper Storage of Trash (Barrels),42.3322,-71.0322
2675,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3398,-71.0515
2687,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2788,-71.0792
2689,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3026,-71.1056
2694,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3147,-71.0879
2699,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3398,-71.0515
2703,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3673,-71.032
2704,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2716,-71.148
2715,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3026,-71.1056
2716,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3026,-71.1056
2736,Improper Storage of Trash (Barrels),42.3308,-71.0338
2782,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3145,-71.0722
2785,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3241,-71.0946
2787,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2537,-71.1297
2790,Improper Storage of Trash (Barrels),42.2882,-71.0625
2798,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3531,-71.1409
2803,Improper Storage of Trash (Barrels),42.3748,-71.0613
2808,Improper Storage of Trash (Barrels),42.3492,-71.0668
2810,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2809,-71.0684
2814,Improper Storage of Trash (Barrels),42.3087,-71.0508
2819,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3375,-71.0517
2833,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3363,-71.0496
2842,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3593,-71.0694
2851,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3646,-71.0554
2855,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2863,-71.1227
2861,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3492,-71.1719
2887,Missed Trash/Recycling/Yard Waste/Bulk Item,42.284,-71.0713
2892,Improper Storage of Trash (Barrels),42.3486,-71.0937
2895,Improper Storage of Trash (Barrels),42.3485,-71.0936
2902,Improper Storage of Trash (Barrels),42.2702,-71.1305
2906,Improper Storage of Trash (Barrels),42.2702,-71.1301
2919,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3644,-71.052
2937,Missed Trash/Recycling/Yard Waste/Bulk Item,42.313,-71.127
2938,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3497,-71.0899
2942,Improper Storage of Trash (Barrels),42.336,-71.031
2958,Improper Storage of Trash (Barrels),42.3589,-71.0661
2960,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3675,-71.0379
2963,Improper Storage of Trash (Barrels),42.3502,-71.0826
2964,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3417,-71.071
2973,Missed Trash/Recycling/Yard Waste/Bulk Item,42.365,-71.053
2975,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2537,-71.1297
2985,Improper Storage of Trash (Barrels),42.3289,-71.0992
2997,Improper Storage of Trash (Barrels),42.3639,-71.0551
2998,Improper Storage of Trash (Barrels),42.3362,-71.0762
3001,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2637,-71.124
3006,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3172,-71.0615
3011,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3459,-71.1056
3016,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3161,-71.067
3022,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3873,-71.0764
3033,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3582,-71.0658
3045,Improper Storage of Trash (Barrels),42.3111,-71.0537
3046,Improper Storage of Trash (Barrels),42.3114,-71.0536
3050,Improper Storage of Trash (Barrels),42.3236,-71.0779
3053,Improper Storage of Trash (Barrels),42.3488,-71.0837
3060,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3487,-71.1412
3066,Improper Storage of Trash (Barrels),42.3485,-71.068
3068,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3381,-71.0774
3072,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3581,-71.0667
3077,Improper Storage of Trash (Barrels),42.35,-71.0825
3081,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3122,-71.105
3082,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3509,-71.0568
3085,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2731,-71.1198
3087,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2835,-71.0705
3095,Improper Storage of Trash (Barrels),42.3322,-71.0319
3098,Improper Storage of Trash (Barrels),42.3634,-71.054
3102,Improper Storage of Trash (Barrels),42.2912,-71.071
3110,Missed Trash/Recycling/Yard Waste/Bulk Item,42.276,-71.1225
3123,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2852,-71.1139
3125,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3605,-71.0699
3134,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2877,-71.1175
3139,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2676,-71.1212
3142,Missed Trash/Recycling/Yard Waste/Bulk Item,42.273,-71.1198
3147,Missed Trash/Recycling/Yard Waste/Bulk Item,42.249,-71.1328
3157,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3584,-71.0696
3158,Improper Storage of Trash (Barrels),42.3604,-71.0647
3160,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3505,-71.0665
3163,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2833,-71.0571
3176,Improper Storage of Trash (Barrels),42.3594,-71.0587
3178,Missed Trash/Recycling/Yard Waste/Bulk Item,42.285,-71.0583
3180,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3594,-71.0587
3181,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3464,-71.0725
3191,Improper Storage of Trash (Barrels),42.3608,-71.0689
3192,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2844,-71.0605
3207,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3141,-71.0572
3209,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3465,-71.1606
3212,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2632,-71.1495
3224,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3505,-71.0665
3255,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3141,-71.0572
3259,Improper Storage of Trash (Barrels),42.3594,-71.0587
3261,Improper Storage of Trash (Barrels),42.3608,-71.0702
3283,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3437,-71.0658
3290,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2719,-71.1699
3298,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3416,-71.0859
3303,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3594,-71.0587
3308,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2416,-71.1365
3311,Improper Storage of Trash (Barrels),42.3486,-71.0937
3315,Improper Storage of Trash (Barrels),42.3797,-71.0355
3337,Missed Trash/Recycling/Yard Waste/Bulk Item,42.273,-71.1198
3339,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2743,-71.1687
3344,Improper Storage of Trash (Barrels),42.3594,-71.0587
3348,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3225,-71.0566
3350,Improper Storage of Trash (Barrels),42.3657,-71.0571
3351,Improper Storage of Trash (Barrels),42.3633,-71.0536
3354,Improper Storage of Trash (Barrels),42.3485,-71.139
3363,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2923,-71.0571
3364,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3905,-71.007
3367,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3098,-71.105
3368,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2943,-71.0556
3369,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2887,-71.0619
3374,Improper Storage of Trash (Barrels),42.295,-71.1155
3382,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3484,-71.1542
3395,Improper Storage of Trash (Barrels),42.3596,-71.0649
3399,Improper Storage of Trash (Barrels),42.3594,-71.0587
3405,Improper Storage of Trash (Barrels),42.3511,-71.0602
3413,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3437,-71.0658
3430,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2883,-71.0622
3434,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3915,-71.0019
3436,Improper Storage of Trash (Barrels),42.3537,-71.1472
3439,Missed Trash/Recycling/Yard Waste/Bulk Item,42.344,-71.0704
3446,Improper Storage of Trash (Barrels),42.3639,-71.0551
3451,Missed Trash/Recycling/Yard Waste/Bulk Item,42.336,-71.0301
3473,Improper Storage of Trash (Barrels),42.3344,-71.0453
3518,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3154,-71.0543
3520,Improper Storage of Trash (Barrels),42.3781,-71.0389
3521,Improper Storage of Trash (Barrels),42.3779,-71.0386
3530,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3432,-71.064
3648,Improper Storage of Trash (Barrels),42.3561,-71.0616
3649,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3026,-71.0634
3673,Improper Storage of Trash (Barrels),42.318,-71.0535
3693,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3426,-71.0864
3718,Improper Storage of Trash (Barrels),42.3639,-71.0551
3721,Improper Storage of Trash (Barrels),42.3643,-71.0537
3840,Improper Storage of Trash (Barrels),42.2808,-71.1514
3910,Improper Storage of Trash (Barrels),42.3329,-71.0397
3914,Improper Storage of Trash (Barrels),42.3569,-71.0599
3920,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3104,-71.0462
4057,Trash on Vacant Lot,42.3594,-71.0587
4083,Improper Storage of Trash (Barrels),42.3363,-71.0763
4098,Improper Storage of Trash (Barrels),42.342,-71.1479
4100,Improper Storage of Trash (Barrels),42.3362,-71.0763
4153,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2713,-71.162
4173,Improper Storage of Trash (Barrels),42.3643,-71.0577
