,type,latitude,longitude
36939,Rodent Activity,42.3594,-71.0587
37062,Rodent Activity,42.2834,-71.0555
37402,Rodent Activity,42.3463,-71.0793
37437,Pest Infestation - Residential,42.3438,-71.0965
37461,Pest Infestation - Residential,42.3156,-71.0979
37462,Pest Infestation - Residential,42.3156,-71.0979
37495,Bed Bugs,42.3474,-71.1396
37497,Pest Infestation - Residential,42.3216,-71.1046
37696,Rodent Activity,42.3594,-71.0587
37890,Rodent Activity,42.3179,-71.0994
37977,Rodent Activity,42.2934,-71.0811
37995,Rodent Activity,42.2872,-71.0407
38299,Rodent Activity,42.3594,-71.0587
38402,Rodent Activity,42.3524,-71.129
38687,Rodent Activity,42.2956,-71.0862
38689,Rodent Activity,42.2956,-71.0862
38763,Rodent Activity,42.3816,-71.0709
38812,Rodent Activity,42.3117,-71.0642
38821,Rodent Activity,42.336,-71.076
38900,Rodent Activity,42.337,-71.0477
38929,Rodent Activity,42.2872,-71.0407
39233,Rodent Activity,42.3496,-71.0834
39411,Rat Bite,42.3072,-71.0663
39448,Pest Infestation - Residential,42.3465,-71.0798
39519,Rodent Activity,42.3594,-71.0587
39650,Pest Infestation - Residential,42.3594,-71.0587
39730,Pest Infestation - Residential,42.2985,-71.0597
39821,Rodent Activity,42.3215,-71.1045
39904,Pest Infestation - Residential,42.3104,-71.1001
40054,Rodent Activity,42.3112,-71.1007
40165,Rodent Activity,42.2888,-71.0566
40208,Rodent Activity,42.3483,-71.0678
40317,Pest Infestation - Residential,42.306,-71.0776
40318,Pest Infestation - Residential,42.3518,-71.1243
40379,Rodent Activity,42.3594,-71.0587
40416,Pest Infestation - Residential,42.3335,-71.0299
40417,Rodent Activity,42.3335,-71.0301
40490,Rodent Activity,42.3824,-71.0203
40494,Rodent Activity,42.3824,-71.0203
40568,Rodent Activity,42.3538,-71.0528
40652,Bed Bugs,42.3024,-71.0755
40762,Rodent Activity,42.3064,-71.0655
40796,Rodent Activity,42.3824,-71.0205
40824,Rodent Activity,42.3043,-71.0609
40931,Rodent Activity,42.295,-71.0592
40954,Rodent Activity,42.2938,-71.1419
40990,Rodent Activity,42.3144,-71.0999
41068,Pest Infestation - Residential,42.2951,-71.0536
41074,Rodent Activity,42.3491,-71.0683
41098,Rodent Activity,42.321,-71.0622
41109,Rodent Activity,42.3594,-71.0587
41176,Pest Infestation - Residential,42.3431,-71.1529
41462,Rodent Activity,42.3179,-71.099
41551,Rodent Activity,42.3144,-71.0999
41720,Bed Bugs,42.3335,-71.1017
41895,Rodent Activity,42.3007,-71.0506
41958,Bed Bugs,42.3512,-71.0636
41979,Rodent Activity,42.3373,-71.0745
42073,Pest Infestation - Residential,42.3156,-71.0992
42110,Rodent Activity,42.3211,-71.0628
42123,Rodent Activity,42.3769,-71.0351
42128,Rodent Activity,42.3818,-71.0354
42186,Rodent Activity,42.3319,-71.0403
42325,Rodent Activity,42.3102,-71.067
42384,Pest Infestation - Residential,42.2721,-71.0761
42467,Rodent Activity,42.3126,-71.075
42481,Rat Bite,42.3825,-71.0366
42505,Rodent Activity,42.336,-71.0504
42531,Rodent Activity,42.3057,-71.0769
42561,Rodent Activity,42.3088,-71.1054
42621,Rodent Activity,42.3288,-71.0833
42714,Pest Infestation - Residential,42.3583,-71.1288
42773,Rodent Activity,42.3789,-71.0655
42787,Rodent Activity,42.3594,-71.0587
42882,Rodent Activity,42.3536,-71.1553
42898,Rodent Activity,42.3448,-71.0983
42909,Rodent Activity,42.3037,-71.0635
43051,Pest Infestation - Residential,42.3046,-71.1061
43181,Rodent Activity,42.337,-71.0477
43288,Rodent Activity,42.3173,-71.0987
43312,Bed Bugs,42.3764,-71.0534
43320,Rodent Activity,42.329,-71.0836
43331,Pest Infestation - Residential,42.3523,-71.1396
43460,Rodent Activity,42.3132,-71.0779
43480,Pest Infestation - Residential,42.3508,-71.0772
43582,Rodent Activity,42.3142,-71.0754
43585,Rodent Activity,42.3143,-71.0754
43588,Rodent Activity,42.3141,-71.0755
43659,Rodent Activity,42.364,-71.0564
43661,Rodent Activity,42.358,-71.1275
43695,Pest Infestation - Residential,42.3594,-71.0587
43720,Rodent Activity,42.3019,-71.0807
43804,Rodent Activity,42.329,-71.0836
43806,Rodent Activity,42.3539,-71.1456
43833,Rodent Activity,42.251,-71.1312
43912,Pest Infestation - Residential,42.268,-71.1503
43922,Rodent Activity,42.359,-71.1426
43928,Rodent Activity,42.3491,-71.1365
43936,Rodent Activity,42.3808,-71.0365
43970,Pest Infestation - Residential,42.268,-71.1503
44044,Rodent Activity,42.3482,-71.0938
44144,Rodent Activity,42.2956,-71.0585
44515,Rodent Activity,42.3102,-71.1184
44777,Rodent Activity,42.3249,-71.1051
44843,Rodent Activity,42.3656,-71.0573
45006,Rodent Activity,42.3073,-71.1039
45054,Rodent Activity,42.2883,-71.0874
